Country Code,Percentage of individuals online,Number of Bed-places
AT,65,601945
BE,71,129232
BG,45,281869
CH,:,271710
CY,62,83251
CZ,:,317756
DE,68,1784654
DK,82,90503
EE,62,32404
EL,47,797995
ES,72,1893978
FI,76,135177
FR,61,1312372
HR,52,167380
HU,58,181407
IE,69,150083
IS,:,29403
IT,29,2248225
LI,:,1660
LT,45,28665
LU,78,15689
LV,48,26164
ME,:,35518
MK,57,19567
MT,64,41684
NL,78,261164
NO,80,187943
PL,32,325776
PT,51,337175
RO,44,213635
RS,:,:
SE,80,240883
SI,54,45716
SK,58,95774
TR,53,897456
UK,81,1950485
XK,:,:
AL,:,:
BA,:,:
